ID,Eco_Final_Pred,Movement_Final_Pred,Dmg_Final_Pred,Flash_Final_Pred,Grenade_Final_Pred,Kill_Final_Pred,Wf_Final_Pred,isCheater
1539223272_g152-v-20230828162848019889847,4.9539683e-08,1.4746206e-08,2.6119231e-08,1.2719173e-09,0.0,7.568308999999999e-19,1.8278324e-18,0
yanan896_g152-v-20230828162848019889847,4.9539683e-08,1.4746206e-08,2.6119226e-08,3.3942446e-11,2.0215895000000002e-26,4.9593079999999995e-26,5.9514407e-35,0
EmberwW_g152-v-20230828162848019889847,4.9539683e-08,1.4746206e-08,2.6119224e-08,5.4909627e-12,0.0,3.9086792e-17,6.3437808e-24,0
破腚百出·_g152-v-20230828162848019889847,4.9539683e-08,1.4746206e-08,2.6119224e-08,5.24426e-11,0.0,8.1813965e-31,2.0242268e-09,0
隔壁三叔walle_g152-v-20230828162848019889847,4.9539683e-08,1.4746206e-08,2.6119224e-08,2.129718e-10,0.0,1.2285377399999998e-17,2.675795e-23,0
WIFIYING_g152-v-20230828162848019889847,4.9539683e-08,1.4746206e-08,2.6119231e-08,7.7763623e-10,0.0,2.3366627000000003e-32,1.2996155e-13,0
春日捕月5_g152-v-20230828162848019889847,4.9539683e-08,1.4746206e-08,2.6119233e-08,8.752821e-12,0.0,7.2940315e-20,0.12214499,0
立立真不会开枪_g152-v-20230828162848019889847,4.9539683e-08,1.4746206e-08,2.6119233e-08,6.709702e-10,0.0,7.3299927e-23,0.0064876564,0
2238210970_g152-v-20230828162848019889847,4.9539683e-08,1.4746206e-08,2.6119224e-08,2.710394e-11,0.0,1.8280824e-20,0.029157337,0
mONESY质疑版_g152-v-20230828162848019889847,4.9539683e-08,1.4746206e-08,2.6119226e-08,4.9081277e-12,0.0,1.38618875e-27,5.421591e-20,0
lzghaomeng_g151-n-20230828061912975001444,4.9539683e-08,1.4746207e-08,2.6119226e-08,1.2542434e-11,0.0,4.3782572e-23,0.14295211,0
yooooo.._g151-n-20230828061912975001444,4.9539683e-08,1.4746207e-08,2.6119226e-08,9.564681e-12,0.0,5.1253626e-30,1.1946878e-29,0
七里狙._g151-n-20230828061912975001444,4.9539683e-08,1.4746206e-08,2.6119224e-08,4.3938672e-11,0.0,1.32008215e-17,0.15928708,0
攒了好多失望_g151-n-20230828061912975001444,4.9539683e-08,1.4746207e-08,2.6119224e-08,2.2289542e-14,3.6528034e-35,1.4275880000000001e-25,0.105918825,0
KLgedai04g_g151-n-20230828061912975001444,4.9539683e-08,1.4746207e-08,2.6119224e-08,1.6209702e-12,0.0,7.726598999999999e-19,0.116802916,0
青青子衿._g151-n-20230828061912975001444,4.9539683e-08,1.4746207e-08,2.6119226e-08,8.506947e-11,0.0,5.515500000000001e-19,0.09537834,0
景洪AK哥_g151-n-20230828061912975001444,4.9539683e-08,1.4746207e-08,2.6119226e-08,7.0294517e-12,0.0,2.9824972e-16,0.13430391,0
认真苟活_g151-n-20230828061912975001444,4.9539683e-08,1.4746207e-08,2.6119224e-08,8.783331e-12,0.0,5.952819e-20,0.16100618,1
一个丁老头._g151-n-20230828061912975001444,4.9539683e-08,1.4746205e-08,2.6119226e-08,1.5059912e-10,0.0,2.3795964e-20,4.113786e-07,0
Lznnwin._g151-n-20230828061912975001444,4.9539683e-08,1.4746207e-08,2.6119224e-08,9.224964e-12,0.0,1.0329773e-24,5.098882e-13,0
U不是真正の快乐_g161-20230817010636599898305,4.9539683e-08,1.4746206e-08,2.6119226e-08,1.8961006e-11,0.0,7.4305644e-22,0.013590913,0
h20041222_g161-20230817010636599898305,4.9539683e-08,1.4746206e-08,2.6119224e-08,2.9026701e-11,0.0,4.1100504e-25,5.8116034e-28,0
沧海月明明珠有泪_g161-20230817010636599898305,4.9539683e-08,1.4746206e-08,2.6119226e-08,1.6647723e-12,0.0,1.0122003e-28,2.745996e-30,0
Bajonett_g161-20230817010636599898305,4.9539683e-08,1.4746206e-08,2.6119224e-08,4.2366262e-12,2.2301743e-20,9.101522e-27,0.15822634,0
全冰·生椰拿铁_g161-20230817010636599898305,4.9539683e-08,1.4746206e-08,2.6119231e-08,5.4909627e-12,0.0,9.1199907e-20,0.1716825,0
wwqwq_g161-20230817010636599898305,4.9539683e-08,1.4746206e-08,2.6119228e-08,1.1203262e-11,0.0,7.861753e-26,4.3263740000000004e-17,0
